Datum,Mahlzeit,Kalorien,Fett (g),Gesättigte Fettsäuren,Mehrfach ungesättigte Fettsäuren,Einfach ungesättigte Fettsäuren,Transfettsäuren,Cholesterin,Natrium (mg),Kalium,Kohlenhydrate (g),Ballaststoffe,Zucker,Eiweiß (g),Vitamin A,Vitamin C,Kalzium,Eisen,export_headers.note
2023-08-01,Abendessen,504.0,3.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,25.9,0.0,18.7,88.9,0.0,19.0,0.0,0.0,
2023-08-01,Mittagessen,434.0,10.6,6.4,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,29.4,46.4,0.0,0.0,0.0,0.0,
2023-08-02,Abendessen,973.0,21.8,0.9,0.1,0.0,0.0,0.0,1.2,422.4,47.3,3.1,33.1,148.8,5.0,36.1,0.6,1.7,
2023-08-02,Frühstück,621.0,6.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,74.4,0.0,15.9,55.3,0.0,19.0,0.0,0.0,
2023-08-04,Mittagessen,854.0,10.9,6.9,0.0,0.0,0.0,0.0,0.0,0.0,91.4,0.0,31.3,85.8,0.0,38.0,0.0,0.0,
2023-08-05,Abendessen,818.0,35.6,4.4,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,5.0,115.2,0.0,0.0,0.0,0.0,
2023-08-05,Frühstück,467.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.2,0.0,10.0,83.8,0.0,0.0,0.0,0.0,
2023-08-06,Frühstück,830.0,19.0,11.8,0.5,0.0,6.0,60.0,465.0,92.0,67.8,2.0,25.0,94.8,0.0,0.0,6.0,16.0,
2023-08-07,Abendessen,168.0,4.8,3.2,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,9.0,20.0,0.0,0.0,0.0,0.0,
2023-08-07,Mittagessen,1514.0,52.8,4.1,0.0,0.0,0.0,0.0,1100.0,0.0,92.2,9.0,46.3,170.9,0.0,19.0,0.0,0.0,
2023-08-08,Mittagessen,1612.0,60.2,14.4,0.0,0.0,0.0,174.0,1003.5,208.0,59.2,0.0,38.7,200.8,0.0,19.0,16.6,0.0,
2023-08-09,Frühstück,1820.4,69.9,22.9,12.5,4.6,0.0,11.6,484.8,428.0,155.1,10.2,64.0,144.6,5.0,36.1,2.8,2.1,
2023-08-10,Mittagessen,1341.8,29.7,17.4,0.0,0.0,0.0,0.0,640.0,208.0,44.3,0.0,41.1,222.6,0.0,38.0,16.6,0.0,
2023-08-12,Frühstück,1906.5,73.3,37.6,0.0,0.0,0.0,0.0,236.6,0.0,160.9,0.0,63.8,142.6,0.0,38.0,0.0,0.0,
2023-08-15,Mittagessen,1671.0,52.5,12.8,0.1,0.0,0.0,0.0,641.2,630.4,118.3,3.1,79.5,177.1,5.0,55.1,17.2,1.7,
2023-08-16,Abendessen,788.0,23.0,9.8,0.0,0.0,0.0,0.0,0.0,10.0,49.8,0.0,23.2,94.5,0.0,19.0,0.0,0.0,
2023-08-16,Mittagessen,641.0,13.3,8.8,0.1,0.0,0.0,0.0,641.2,630.4,51.0,3.1,36.8,81.6,5.0,36.1,17.2,1.7,
2023-08-17,Abendessen,336.0,4.9,3.3,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,15.4,55.3,0.0,19.0,0.0,0.0,
2023-08-28,Mittagessen,1577.0,30.9,8.3,1.1,7.8,0.0,186.0,2551.2,1252.4,119.5,11.9,45.3,212.6,6.2,66.1,0.6,1.7,
2023-08-29,Mittagessen,1618.1,23.6,11.3,0.3,0.0,0.0,0.0,754.0,3339.8,127.4,12.0,67.5,235.1,0.0,170.1,20.5,1.5,
2023-08-30,Abendessen,1350.0,22.6,4.7,3.7,6.3,0.0,792.5,712.0,699.8,99.9,5.8,17.2,189.0,14.8,17.1,8.9,23.2,
2023-08-30,Frühstück,746.0,13.7,8.9,0.2,0.0,0.0,0.0,642.4,1052.8,78.0,6.2,51.2,82.9,10.0,53.2,17.8,3.4,
2023-08-31,Frühstück,513.0,8.8,5.6,0.2,0.0,0.0,0.0,642.4,1052.8,61.0,6.2,35.8,52.4,10.0,34.2,17.8,3.4,
2023-08-31,Mittagessen,1175.8,36.9,14.2,0.4,0.1,0.0,0.0,1287.5,713.0,52.1,4.5,42.9,161.6,0.0,205.8,38.5,2.0,
2023-09-01,Frühstück,1668.0,38.9,20.5,0.2,0.0,0.0,0.0,4693.3,1272.8,151.3,6.2,75.6,181.6,10.0,53.2,17.8,3.4,
2023-09-02,Frühstück,348.0,13.0,6.2,3.1,1.2,0.0,0.0,640.0,208.0,7.0,0.0,7.0,49.8,0.0,0.0,16.6,0.0,
2023-09-04,Mittagessen,1442.0,33.9,11.2,1.2,0.0,0.0,0.0,642.4,1052.8,133.2,6.2,51.2,162.2,10.0,53.2,17.8,3.4,
2023-09-05,Mittagessen,1682.0,48.9,14.5,0.1,0.0,0.0,0.0,4644.5,630.4,121.5,7.5,102.3,186.8,5.0,17.1,17.2,1.7,
2023-09-06,Frühstück,1108.0,24.7,15.3,0.2,0.0,0.0,0.0,1285.7,1260.8,86.5,6.2,59.4,139.7,10.0,53.2,34.4,3.4,
2023-09-06,Mittagessen,1160.0,68.8,16.9,3.6,8.3,0.0,630.0,717.1,201.0,20.1,0.0,17.6,110.1,0.0,0.0,0.0,0.0,
2023-09-07,Abendessen,362.0,7.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,11.2,0.0,6.4,63.0,0.0,0.0,0.0,0.0,
2023-09-07,Frühstück,971.0,21.6,14.2,0.1,0.0,0.0,0.0,1391.2,838.4,70.0,3.1,55.8,126.6,5.0,36.1,33.8,1.7,
2023-09-08,Abendessen,194.0,5.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,7.2,0.0,0.0,28.8,0.0,0.0,0.0,0.0,
2023-09-09,Frühstück,1483.0,75.5,23.8,0.0,0.0,0.0,0.0,500.2,0.0,88.5,4.1,40.5,115.4,0.0,19.0,0.0,0.0,
2023-09-12,Mittagessen,1348.0,24.9,15.3,0.0,0.0,0.0,0.0,2768.4,208.0,69.7,0.0,46.5,207.8,0.0,19.0,16.6,0.0,
2023-09-13,Mittagessen,1752.0,66.1,26.6,0.1,0.0,0.0,0.0,1281.2,838.4,76.2,3.1,59.2,214.6,5.0,36.1,33.8,1.7,
2023-09-14,Mittagessen,1351.0,24.8,14.7,0.1,0.0,0.0,0.0,1281.2,838.4,58.0,3.1,43.8,221.6,5.0,36.1,33.8,1.7,
2023-09-15,Abendessen,1287.0,38.4,13.3,0.0,0.0,0.0,0.0,0.0,996.0,88.1,6.9,32.8,152.5,0.0,55.0,0.0,0.0,
2023-09-15,Frühstück,882.0,23.7,6.1,0.2,0.0,0.0,0.0,642.4,1052.8,98.2,9.3,39.6,75.0,10.0,34.2,17.8,3.4,
2023-09-16,Frühstück,512.0,8.7,5.6,0.2,0.0,0.0,0.0,643.2,844.4,61.6,7.9,42.2,51.6,5.0,32.4,18.4,3.0,
2023-09-16,Mittagessen,233.0,4.9,3.3,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,15.4,30.5,0.0,19.0,0.0,0.0,
2023-09-17,Mittagessen,953.0,28.6,0.8,0.0,0.0,0.0,0.0,1900.0,0.0,144.0,10.0,56.0,49.0,0.0,0.0,0.0,0.0,
2023-09-20,Mittagessen,1769.0,65.4,22.6,0.0,0.0,0.0,50.0,642.0,208.0,68.9,0.0,22.6,204.0,0.0,19.0,16.6,0.0,
2023-09-21,Mittagessen,1580.5,53.6,26.4,0.2,0.0,0.0,0.0,960.0,636.0,127.8,9.6,101.9,147.9,0.0,49.6,19.0,2.6,
2023-09-27,Abendessen,1130.0,46.0,14.8,0.0,0.0,0.0,0.0,420.0,0.0,100.8,19.0,23.0,77.0,0.0,0.0,1.0,14.0,
2023-09-27,Mittagessen,875.8,21.3,10.2,0.0,0.0,0.0,0.0,922.2,208.0,44.2,0.0,33.5,123.8,0.0,19.0,16.6,0.0,
2023-09-29,Mittagessen,1564.0,22.6,9.8,0.0,0.0,0.0,0.0,6.0,0.0,63.4,0.0,30.8,269.0,0.0,38.0,0.0,0.0,
2023-10-04,Mittagessen,1091.0,32.7,11.9,0.0,0.0,0.0,0.0,640.0,208.0,35.0,0.0,31.4,163.3,0.0,19.0,16.6,0.0,
2023-10-06,Abendessen,1158.5,46.8,5.0,0.0,0.0,0.0,0.0,1.0,0.0,139.7,0.0,25.1,49.1,0.0,61.8,0.0,0.0,
2023-10-06,Mittagessen,1032.9,32.5,17.3,0.0,0.0,0.0,0.0,2715.2,208.0,70.0,8.8,27.4,118.1,0.0,19.0,16.6,0.0,
2023-10-07,Mittagessen,477.0,5.7,3.3,0.0,0.0,0.0,0.0,0.0,0.0,29.6,0.0,15.4,75.9,0.0,19.0,0.0,0.0,
2023-10-08,Abendessen,2166.1,86.8,19.5,0.0,0.0,0.0,63.0,951.4,250.0,169.4,5.4,20.2,153.1,3.2,19.0,28.0,13.6,
2023-10-09,Mittagessen,2105.5,108.1,6.5,0.0,0.0,0.0,0.0,78.8,0.0,132.4,0.0,35.0,149.5,0.0,80.8,0.0,0.0,
2023-10-10,Abendessen,815.0,53.6,3.2,0.0,0.0,0.0,0.0,0.0,0.0,47.5,0.0,9.0,36.8,0.0,0.0,0.0,0.0,
