Datum,Body Fat %,Fitbit body fat %,Fitbit steps,Fitbit tracked sleep minutes,Gewicht
2026-01-03,15.23,,,,71.1
2026-01-04,14.73,,,,70.3
2026-01-05,14.51,,,,69.6
2026-01-06,14.8,,,,70.5
2026-01-07,14.27,,,,69.7
2026-01-08,14.51,,,,69.8
2026-01-09,14.34,,,,70.0
2026-01-10,14.77,,,,69.9
2026-01-11,14.47,,,,68.8
2026-01-12,14.33,,,,69.9
2026-01-13,14.54,,,,68.8
2026-01-14,14.0,,,,69.2
2026-01-15,14.54,,,,69.0
2026-01-17,14.19,,,,69.8
2026-01-18,15.14,,,,70.4
2026-01-19,14.61,,,,69.1
2026-01-20,14.06,,,,69.8
2026-01-21,14.18,,,,70.1
2026-01-22,14.12,,,,69.8
2026-01-23,14.76,,,,69.9
2026-01-25,14.14,,,,69.7
2026-01-27,14.69,,,,69.4
2026-01-29,14.79,,,,69.2
2026-01-30,14.38,,,,69.2
2026-01-31,15.05,,,,69.0
2026-02-02,14.09,,,,68.5
2026-02-06,14.31,,,,70.4
2026-02-07,14.24,,,,70.2
2026-02-08,14.53,,,,70.3
2026-02-12,14.4,,,,69.4
2026-02-14,13.93,,,,69.3
2026-02-15,13.92,,,,71.1
2026-02-19,14.71,,,,72.7
2026-02-21,14.95,,,,75.1
2026-02-23,13.68,,,,78.2
2026-02-24,15.2,,,,76.8
2026-02-25,15.31,,,,75.0
2026-02-26,15.32,,,,75.4
2026-02-27,15.45,,,,75.9
2026-02-28,15.37,,,,75.4
2026-03-01,15.99,,,,76.0
2026-03-02,15.82,,,,76.4
2026-03-03,16.52,,,,77.4
2026-03-04,15.76,,,,76.1
2026-03-05,16.57,,,,76.0
2026-03-06,15.55,,,,76.2
2026-03-07,15.44,,,,75.7
2026-03-08,15.64,,,,74.8
2026-03-09,15.62,,,,74.8
2026-03-10,15.18,,,,74.2
2026-03-11,15.47,,,,75.3
2026-03-13,15.01,,,,74.3
2026-03-14,15.35,,,,73.8
2026-03-15,15.46,,,,73.7
2026-03-17,15.43,,,,72.6
2026-03-18,14.99,,,,72.5
2026-03-19,14.31,,,,72.4
2026-03-20,14.15,,,,72.5
2026-03-21,14.59,,,,72.5
2026-03-22,14.0,,,,71.4
2026-03-23,14.0,,,,71.5
2026-03-24,13.98,,,,71.2
2026-03-25,14.3,,,,71.6
2026-03-26,14.18,,,,70.9
2026-03-27,14.2,,,,70.8
2026-03-28,14.11,,,,70.8
2026-03-29,13.8,,,,70.6
2026-03-30,14.58,,,,70.7
2026-03-31,13.74,,,,70.1
2026-04-01,13.59,,,,70.2
