Datum,Training,Typ,Kalorien aus Training,Minuten für dieses Training,Serien,Wdh. pro Serie,Kilogramm,Schritte,export_headers.note
2021-08-28,Withings calorie adjustment,Ausdauer,0.0,1,,,,,
2021-08-29,Withings calorie adjustment,Ausdauer,0.0,1,,,,,
2021-08-30,Withings calorie adjustment,Ausdauer,0.0,1,,,,,
2021-08-31,Withings calorie adjustment,Ausdauer,0.0,1,,,,,
2021-09-01,Withings calorie adjustment,Ausdauer,0.0,1,,,,,
2021-09-02,Withings calorie adjustment,Ausdauer,0.0,1,,,,,
2022-11-03,MFP iOS calorie adjustment,Ausdauer,86.0,1,,,,,
2023-02-26,MFP iOS calorie adjustment,Ausdauer,94.0,1,,,,,
2023-02-27,MFP iOS calorie adjustment,Ausdauer,97.0,1,,,,,
2023-02-28,MFP iOS calorie adjustment,Ausdauer,211.0,1,,,,,
2023-03-01,MFP iOS calorie adjustment,Ausdauer,260.0,1,,,,,
2023-03-02,MFP iOS calorie adjustment,Ausdauer,198.0,1,,,,,
2023-03-03,MFP iOS calorie adjustment,Ausdauer,271.0,1,,,,,
2023-03-04,MFP iOS calorie adjustment,Ausdauer,152.0,1,,,,,
2023-03-05,MFP iOS calorie adjustment,Ausdauer,26.0,1,,,,,
2023-03-06,MFP iOS calorie adjustment,Ausdauer,1.0,1,,,,,
2023-03-07,MFP iOS calorie adjustment,Ausdauer,9.0,1,,,,,
2023-03-08,MFP iOS calorie adjustment,Ausdauer,37.0,1,,,,,
2023-03-09,MFP iOS calorie adjustment,Ausdauer,39.0,1,,,,,
2023-03-17,MFP iOS calorie adjustment,Ausdauer,0.0,1,,,,,
2023-03-18,MFP iOS calorie adjustment,Ausdauer,97.0,1,,,,,
2023-03-19,MFP iOS calorie adjustment,Ausdauer,0.0,1,,,,,
2023-03-20,MFP iOS calorie adjustment,Ausdauer,18.0,1,,,,,
2023-03-21,MFP iOS calorie adjustment,Ausdauer,0.0,1,,,,,
2023-03-22,MFP iOS calorie adjustment,Ausdauer,15.0,1,,,,,
2023-03-23,MFP iOS calorie adjustment,Ausdauer,62.0,1,,,,,
2023-03-24,MFP iOS calorie adjustment,Ausdauer,8.0,1,,,,,
2023-03-25,MFP iOS calorie adjustment,Ausdauer,25.0,1,,,,,
2023-03-26,MFP iOS calorie adjustment,Ausdauer,17.0,1,,,,,
2023-03-27,MFP iOS calorie adjustment,Ausdauer,67.0,1,,,,,
2023-03-28,MFP iOS calorie adjustment,Ausdauer,69.0,1,,,,,
2023-03-29,MFP iOS calorie adjustment,Ausdauer,12.0,1,,,,,
2023-03-30,MFP iOS calorie adjustment,Ausdauer,43.0,1,,,,,
2023-03-31,MFP iOS calorie adjustment,Ausdauer,26.0,1,,,,,
2023-04-01,MFP iOS calorie adjustment,Ausdauer,35.0,1,,,,,
2023-04-02,MFP iOS calorie adjustment,Ausdauer,21.0,1,,,,,
2023-04-03,MFP iOS calorie adjustment,Ausdauer,67.0,1,,,,,
2023-04-04,MFP iOS calorie adjustment,Ausdauer,116.0,1,,,,,
2023-04-05,MFP iOS calorie adjustment,Ausdauer,1.0,1,,,,,
2023-04-08,MFP iOS calorie adjustment,Ausdauer,66.0,1,,,,,
2023-04-09,MFP iOS calorie adjustment,Ausdauer,5.0,1,,,,,
2023-04-10,MFP iOS calorie adjustment,Ausdauer,4.0,1,,,,,
2023-04-11,MFP iOS calorie adjustment,Ausdauer,9.0,1,,,,,
2023-04-12,MFP iOS calorie adjustment,Ausdauer,1.0,1,,,,,
2023-04-13,MFP iOS calorie adjustment,Ausdauer,1.0,1,,,,,
2023-04-14,MFP iOS calorie adjustment,Ausdauer,45.0,1,,,,,
2023-04-15,MFP iOS calorie adjustment,Ausdauer,46.0,1,,,,,
2023-04-27,MFP iOS calorie adjustment,Ausdauer,5.0,1,,,,,
2023-04-28,MFP iOS calorie adjustment,Ausdauer,16.0,1,,,,,
2023-04-29,MFP iOS calorie adjustment,Ausdauer,130.0,1,,,,,
2023-04-30,MFP iOS calorie adjustment,Ausdauer,0.0,1,,,,,
2023-05-01,MFP iOS calorie adjustment,Ausdauer,77.0,1,,,,,
2023-05-02,MFP iOS calorie adjustment,Ausdauer,8.0,1,,,,,
2023-05-03,"""Aerobic, allgemein""",Ausdauer,13.0,1,,,,,
2023-05-03,"""Aerobic, allgemein""",Ausdauer,8.0,1,,,,,
2023-05-03,"""Fahrradfahren,​ 19-​23 km/​h,​ mäßig schnell""",Ausdauer,466.0,37,,,,,
2023-05-03,MFP iOS calorie adjustment,Ausdauer,39.0,1,,,,,
2023-05-04,"""Fahrradfahren,​ 19-​23 km/​h,​ mäßig schnell""",Ausdauer,647.0,50,,,,,
2023-05-04,MFP iOS calorie adjustment,Ausdauer,48.0,1,,,,,
2023-05-05,MFP iOS calorie adjustment,Ausdauer,20.0,1,,,,,
2023-05-09,"""Aerobic, allgemein""",Ausdauer,220.0,18,,,,,
2023-05-10,MFP iOS calorie adjustment,Ausdauer,4.0,1,,,,,
2023-05-11,MFP iOS calorie adjustment,Ausdauer,0.0,1,,,,,
2023-05-12,MFP iOS calorie adjustment,Ausdauer,29.0,1,,,,,
2023-05-13,"""Fahrradfahren,​ < 16 km/​h,​ Freizeit""",Ausdauer,848.0,153,,,,,
2023-05-13,MFP iOS calorie adjustment,Ausdauer,0.0,1,,,,,
2023-05-14,MFP iOS calorie adjustment,Ausdauer,134.0,1,,,,,
2023-05-15,MFP iOS calorie adjustment,Ausdauer,57.0,1,,,,,
2023-05-16,Crosstrainer,Ausdauer,366.0,25,,,,,
2023-05-16,Crosstrainer,Ausdauer,6.0,1,,,,,
2023-05-16,MFP iOS calorie adjustment,Ausdauer,38.0,1,,,,,
2023-05-17,Crosstrainer,Ausdauer,61.0,4,,,,,
2023-05-17,Crosstrainer,Ausdauer,133.0,11,,,,,
2023-05-17,Krafttraining (Gewichtheben),Ausdauer,491.0,52,,,,,
2023-05-17,MFP iOS calorie adjustment,Ausdauer,0.0,1,,,,,
2023-05-18,MFP iOS calorie adjustment,Ausdauer,175.0,1,,,,,
2023-05-19,MFP iOS calorie adjustment,Ausdauer,11.0,1,,,,,
2023-05-20,"""Gehen, 12,5 min. pro km, mäßiges Tempo""",Ausdauer,793.0,150,,,,,
2023-05-20,MFP iOS calorie adjustment,Ausdauer,0.0,1,,,,,
2023-05-21,"""Fahrradfahren,​ < 16 km/​h,​ Freizeit""",Ausdauer,844.0,152,,,,,
2023-05-21,"""Fahrradfahren,​ < 16 km/​h,​ Freizeit""",Ausdauer,20.0,3,,,,,
2023-05-21,"""Fahrradfahren,​ < 16 km/​h,​ Freizeit""",Ausdauer,53.0,10,,,,,
2023-05-21,MFP iOS calorie adjustment,Ausdauer,0.0,1,,,,,
2023-05-22,Crosstrainer,Ausdauer,121.0,10,,,,,
2023-05-22,Crosstrainer,Ausdauer,117.0,10,,,,,
2023-05-22,Krafttraining (Gewichtheben),Ausdauer,316.0,41,,,,,
2023-05-22,MFP iOS calorie adjustment,Ausdauer,0.0,1,,,,,
