Datum,"Grösse (m)",Kommentare
"2024-10-13 19:52:34",1.76,
"2024-08-01 19:04:04",1.76,
"2023-10-20 08:49:18",1.76,
"2022-07-17 00:00:00",1.76,
"2018-12-12 22:56:52",1.76,
"2016-03-23 15:21:29",1.76,
